Date/Time,Step Count (count),Source
2022-02-08 00:00:00,360,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-09 00:00:00,381,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-10 00:00:00,909,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-11 00:00:00,13875,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-12 00:00:00,2314,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-13 00:00:00,913,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-14 00:00:00,12216,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-15 00:00:00,6862,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-16 00:00:00,1146,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-17 00:00:00,1212,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-18 00:00:00,8356,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-19 00:00:00,18124,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-20 00:00:00,216.48,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-21 00:00:00,3669,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-22 00:00:00,507.08,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-23 00:00:00,3312,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-24 00:00:00,2639,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-25 00:00:00,982,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-26 00:00:00,6840,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-27 00:00:00,7749,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-02-28 00:00:00,6009,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-01 00:00:00,6299,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-02 00:00:00,4939,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-03 00:00:00,3983,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-04 00:00:00,7247,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-05 00:00:00,6510,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-06 00:00:00,6753,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-07 00:00:00,7506,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
